date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:56	254466/254466	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Jan%202022%2009:49:28%20GMT	https://html.designingmedia.com/yogastic/assets/images/post-featured.jpg	D:/Anispru/html.designingmedia.com/yogastic/assets/images/post-featured.jpg	(from https://html.designingmedia.com/yogastic/single-post.html)
13:15:57	36138/36138	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Jan%202022%2012:21:40%20GMT	https://html.designingmedia.com/yogastic/assets/images/review2.jpg	D:/Anispru/html.designingmedia.com/yogastic/assets/images/review2.jpg	(from https://html.designingmedia.com/yogastic/single-post.html)
13:15:57	51388/51388	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Jan%202022%2011:54:16%20GMT	https://html.designingmedia.com/yogastic/assets/images/side_post_img01.jpg	D:/Anispru/html.designingmedia.com/yogastic/assets/images/side_post_img01.jpg	(from https://html.designingmedia.com/yogastic/single-post.html)
13:15:57	52420/52420	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Jan%202022%2011:54:26%20GMT	https://html.designingmedia.com/yogastic/assets/images/side_post_img02.jpg	D:/Anispru/html.designingmedia.com/yogastic/assets/images/side_post_img02.jpg	(from https://html.designingmedia.com/yogastic/single-post.html)
13:15:57	39987/39987	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Jan%202022%2011:55:14%20GMT	https://html.designingmedia.com/yogastic/assets/images/side_post_img03.jpg	D:/Anispru/html.designingmedia.com/yogastic/assets/images/side_post_img03.jpg	(from https://html.designingmedia.com/yogastic/single-post.html)
13:15:57	27524/27524	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Jan%202022%2012:27:04%20GMT	https://html.designingmedia.com/yogastic/assets/images/standard_post_img01.jpg	D:/Anispru/html.designingmedia.com/yogastic/assets/images/standard_post_img01.jpg	(from https://html.designingmedia.com/yogastic/infinite-scroll.html)
13:15:58	55787/55787	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Jan%202022%2012:27:22%20GMT	https://html.designingmedia.com/yogastic/assets/images/standard_post_img02.jpg	D:/Anispru/html.designingmedia.com/yogastic/assets/images/standard_post_img02.jpg	(from https://html.designingmedia.com/yogastic/infinite-scroll.html)
13:15:58	56214/56214	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Jan%202022%2012:27:58%20GMT	https://html.designingmedia.com/yogastic/assets/images/standard_post_img06.jpg	D:/Anispru/html.designingmedia.com/yogastic/assets/images/standard_post_img06.jpg	(from https://html.designingmedia.com/yogastic/infinite-scroll.html)
13:15:58	60863/60863	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Jan%202022%2013:40:30%20GMT	https://html.designingmedia.com/yogastic/assets/images/standard_post_img04.jpg	D:/Anispru/html.designingmedia.com/yogastic/assets/images/standard_post_img04.jpg	(from https://html.designingmedia.com/yogastic/infinite-scroll.html)
13:15:58	53903/53903	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Jan%202022%2012:27:28%20GMT	https://html.designingmedia.com/yogastic/assets/images/standard_post_img03.jpg	D:/Anispru/html.designingmedia.com/yogastic/assets/images/standard_post_img03.jpg	(from https://html.designingmedia.com/yogastic/infinite-scroll.html)
